CCHBC Week,Calendar Week,Year,Lockdown,CPL Num,CPL,Customer Num,Customer,City,Address,PLZ ID,Region,Regularity,VMI,UC
01.2021,1,2021,10,120100,Rewe,1196646534,REWE INTERN. LAGER & TRANSPORT GMBH,KALSDORF,8401,8400,Stmk,Regular,Yes,7985
01.2021,1,2021,10,120100,Rewe,1154458376,REWE INTERN. LAGER & TRANSPORT GMBH,STAMS,6422,6400,Tirol,Regular,Yes,9343
01.2021,1,2021,10,120100,Rewe,1172203853,REWE SD-LAGER ST. POELTEN,ST. POELTEN,3100,3100,Nahbereich,Regular,Yes,17720
01.2021,1,2021,10,120100,Rewe,1146865598,REWE INTERN. LAGER & TRANSPORT GMBH,WIENER NEUDORF,2355,2355,Nahbereich,Regular,Yes,100368
01.2021,1,2021,10,120100,Rewe,1123773353,CROSS DOCKING LAGER OST,WIENER NEUDORF,2355,2355,Nahbereich,Regular,Yes,636
01.2021,1,2021,10,120100,Rewe,1082124434,ADEG LAGER 31000,ST.ANDRAE,9433,9400,Kaernten,Regular,Yes,1441
01.2021,1,2021,10,120100,Rewe,1154183527,BILLA AG,HALLEIN,5400,5400,SBG,Regular,Yes,6515
01.2021,1,2021,10,120100,Rewe,1018897863,REWE INTERN. LAGER & TRANSPORT GMBH,ST.VEIT,9300,9300,Kaernten,Regular,Yes,7456
01.2021,1,2021,10,120100,Rewe,999959175,REWE INTERN. LAGER & TRANSPORT GMBH,ST. POELTEN,3100,3100,Nahbereich,Regular,Yes,1901
01.2021,1,2021,10,120100,Rewe,1063690386,ADEG OESTERREICH HANDELS AG,ST.ANDRAE/LAVANTTAL,9433,9400,Kaernten,Sporadic,Yes,681
01.2021,1,2021,10,120100,Rewe,1005352646,REWE INTERN. LAGER & TRANSPORT GMBH,HALLEIN,5400,5400,SBG,Regular,Yes,1321
01.2021,1,2021,10,120100,Rewe,1138454961,REWE INTERN. LAGER & TRANSPORT GMBH,WR.NEUDORF.,2355,2355,Nahbereich,Regular,Yes,7298
01.2021,1,2021,10,120100,Rewe,1041250733,REWE INTERN. LAGER & TRANSPORT GMBH,STAMS,6422,6400,Tirol,Regular,Yes,1702
01.2021,1,2021,10,120100,Rewe,1150902898,REWE INTERN. LAGER & TRANSPORT GMBH,KALSDORF,8401,8400,Stmk,Regular,Yes,1046
01.2021,1,2021,10,120100,Rewe,1162996393,REWE INTERN. LAGER & TRANSPORT GMBH,ST.VEIT/GLAN,9300,9300,Kaernten,Regular,Yes,2116
01.2021,1,2021,10,120100,Rewe,1170944116,CROSS DOCKING LAGER OST,WIENER NEUDORF,2355,2355,Nahbereich,Regular,Yes,78
01.2021,1,2021,10,120100,Rewe,1079425476,REWE ZL BIEDERMANNSDORF,WR.NEUDORF,2355,2355,Nahbereich,Regular,Yes,8776
01.2021,1,2021,10,120100,Rewe,1001197922,REWE ZL OHLSDORF,OHLSDORF,4694,4600,OOE,Regular,Yes,18653
01.2021,1,2021,10,120100,Rewe,1177390419,REWE ZL OHLSDORF,OHLSDORF,4662,4600,OOE,Regular,Yes,3071
01.2021,1,2021,10,120100,Rewe,1114076192,REWE KOOPERATIONSPARTNERLAGER,WIENER NEUDORF,2355,2355,Nahbereich,Sporadic,Yes,912
01.2021,1,2021,10,120100,Rewe,998926075,REWE KOOPERATIONSPARTNERLAGER,WIENER NEUDORF,2355,2355,Nahbereich,Sporadic,Yes,300
